county,year,area_ha,production_ha,population,rainfall_mm,temperature_c,yield_per_hectare,production_per_person,log_production,rainfall_efficiency
Baringo,2020,47437,68374,666763.0,93.29833333333333,21.215,1.4413643358559773,0.10254618207668992,11.132762539724283,732.8533914503653
Baringo,2021,34709,59169,666763.0,93.29833333333333,21.215,1.7047163559883605,0.08874067697217752,10.98816993567074,634.1913932010218
Baringo,2022,37894,50820,666763.0,93.29833333333333,21.215,1.341109410460759,0.0762189863564715,10.836064933972965,544.7042640990371
Baringo,2023,42501,94877,666763.0,93.29833333333333,21.215,2.2323474741770784,0.1422949383814039,11.460347134751371,1016.9206309508924
Baringo,2024,47457,83958,666763.0,93.29833333333333,21.215,1.7691383778999936,0.12591880473271613,11.3380838634301,899.8874577966737
Bomet,2020,42763,73610,875689.0,138.83166666666668,17.913333333333334,1.7213478942076095,0.08405952341527642,11.206549750071193,530.210446704042
Bomet,2021,40480,58685,875689.0,138.83166666666668,17.913333333333334,1.4497282608695652,0.06701580127191274,10.979956476518549,422.7061549358335
Bomet,2022,27597,43287,875689.0,138.83166666666668,17.913333333333334,1.5685400587020328,0.04943193302645117,10.675630739322571,311.79485948210663
Bomet,2023,27250,63230,875689.0,138.83166666666668,17.913333333333334,2.320366972477064,0.07220600007536922,11.054549966205157,455.44364278082566
Bomet,2024,33491,52714,875689.0,138.83166666666668,17.913333333333334,1.5739750977874654,0.06019717045663472,10.87265532401105,379.69723526092747
Bungoma,2020,87960,317912,1670570.0,135.5625,22.89333333333333,3.614279217826285,0.19030151385455263,12.669533039425476,2345.1323190410326
Bungoma,2021,93214,269443,1670570.0,135.5625,22.89333333333333,2.8905851052417018,0.16128806335562113,12.504115855531605,1987.592438911941
Bungoma,2022,92464,275420,1670570.0,135.5625,22.89333333333333,2.9786727807579165,0.16486588409943911,12.526056115092912,2031.6828031350854
Bungoma,2023,92847,222912,1670570.0,135.5625,22.89333333333333,2.4008530162525443,0.13343469594210358,12.314536839790833,1644.3485477178424
Bungoma,2024,90297,207846,1670570.0,135.5625,22.89333333333333,2.301804046646068,0.12441621721927247,12.244557511090933,1533.2116182572613
Busia,2020,48150,69450,893681.0,135.5625,22.89333333333333,1.442367601246106,0.0777122933127145,11.14837674692692,512.3098201936376
Busia,2021,33810,42028,893681.0,135.5625,22.89333333333333,1.243064182194617,0.04702796635488502,10.64611513518697,310.0267404333794
Busia,2022,42476,64360,893681.0,135.5625,22.89333333333333,1.51520858837932,0.07201674870563433,11.072263138586607,474.7625633932688
Busia,2023,44097,71237,893681.0,135.5625,22.89333333333333,1.6154613692541442,0.07971188824647721,11.173781662893846,525.4919317657907
Busia,2024,44204,77934,893681.0,135.5625,22.89333333333333,1.7630531173649444,0.08720561363618562,11.263630424923152,574.8934993084371
Elgeyo_Marakwet,2020,25856,87431,454480.0,100.71833333333332,20.448333333333334,3.381458849009901,0.1923759021299067,11.378616627356509,868.0743327100331
Elgeyo_Marakwet,2021,31351,86007,454480.0,100.71833333333332,20.448333333333334,2.7433574686612867,0.18924265094173562,11.362195594165064,853.9358938293261
Elgeyo_Marakwet,2022,31713,72330,454480.0,100.71833333333332,20.448333333333334,2.2807681392488885,0.15914891744411194,11.189008085269668,718.1413512932105
Elgeyo_Marakwet,2023,43133,150221,454480.0,100.71833333333332,20.448333333333334,3.4827394338441566,0.33053379686674883,11.919869478957793,1491.4960864456987
Elgeyo_Marakwet,2024,42182,117786,454480.0,100.71833333333332,20.448333333333334,2.7923284813427527,0.25916651997887696,11.67663318757339,1169.459383429035
Embu,2020,35130,34650,608599.0,91.1325,21.73,0.986336464560205,0.056934040312258155,10.453081864230466,380.21562011357094
Embu,2021,35925,31378,608599.0,91.1325,21.73,0.8734307585247042,0.051557758064012596,10.353894158347762,344.31185361972956
Embu,2022,34506,10077,608599.0,91.1325,21.73,0.2920361676230221,0.016557700554880966,9.218110109240543,110.57526129536664
Embu,2023,34500,41327,608599.0,91.1325,21.73,1.1978840579710144,0.06790513950893774,10.629295515335622,453.48256659259874
Embu,2024,34750,25659,608599.0,91.1325,21.73,0.7383884892086331,0.04216076595590857,10.152688638169627,281.5570734918937
Garissa,2020,238,296,841353.0,41.597500000000004,28.1525,1.2436974789915967,0.00035181428009408653,5.6937321388027,7.115812248332231
Garissa,2021,145,71,841353.0,41.597500000000004,28.1525,0.4896551724137931,8.438788475229778e-05,4.276666119016055,1.7068333433499607
Garissa,2022,107,70,841353.0,41.597500000000004,28.1525,0.6542056074766355,8.319932299522317e-05,4.2626798770413155,1.682793437105595
Garissa,2023,142,132,841353.0,41.597500000000004,28.1525,0.9295774647887324,0.0001568901519338494,4.890349128221754,3.173267624256265
Garissa,2024,222,382,841353.0,41.597500000000004,28.1525,1.7207207207207207,0.0004540305912025036,5.948034989180646,9.183244185347677
Homa_Bay,2020,72097,92394,1131950.0,118.35166666666667,22.540000000000003,1.2815235030583796,0.08162374663191838,11.433828143611526,780.673416794581
Homa_Bay,2021,79608,82278,1131950.0,118.35166666666667,22.540000000000003,1.0335393427796202,0.07268695613763859,11.317871190071259,695.199335314247
Homa_Bay,2022,72215,86658,1131950.0,118.35166666666667,22.540000000000003,1.2,0.07655638499933742,11.36973615587814,732.2076861331343
Homa_Bay,2023,78795,115635,1131950.0,118.35166666666667,22.540000000000003,1.4675423567485246,0.10215557224259023,11.658202605424801,977.0458098041148
Homa_Bay,2024,89172,146866,1131950.0,118.35166666666667,22.540000000000003,1.646996815143767,0.1297460135164981,11.897282694312015,1240.9288701750431
Isiolo,2020,586,42,268002.0,58.19333333333333,26.85666666666667,0.07167235494880546,0.0001567152483936687,3.7612001156935624,0.7217321571772254
Isiolo,2021,147,139,268002.0,58.19333333333333,26.85666666666667,0.9455782312925171,0.0005186528458742846,4.941642422609304,2.388589758277008
Isiolo,2022,129,94,268002.0,58.19333333333333,26.85666666666667,0.7286821705426356,0.0003507436511667823,4.553876891600541,1.6153053041585521
Isiolo,2023,256,176,268002.0,58.19333333333333,26.85666666666667,0.6875,0.0006567115170782307,5.176149732573829,3.0244014205521825
Isiolo,2024,288,576,268002.0,58.19333333333333,26.85666666666667,2.0,0.002149237692256028,6.3578422665081,9.898041012716234
Kajiado,2020,31384,15543,1117840.0,53.025,21.715,0.4952523578893704,0.013904494382022473,9.651429991057276,293.12588401697315
Kajiado,2021,4808,2864,1117840.0,53.025,21.715,0.5956738768718802,0.002562084019179847,7.9603236291488395,54.01225836869401
Kajiado,2022,32159,13063,1117840.0,53.025,21.715,0.40620044155601853,0.011685930007872325,9.4776156346503,246.35549269212638
Kajiado,2023,33241,40733,1117840.0,53.025,21.715,1.225384314551307,0.03643902526300723,10.614818403529702,768.1848184818482
Kajiado,2024,21906,40573,1117840.0,53.025,21.715,1.8521409659454031,0.03629589207757818,10.610882746361275,765.1673738802452
Kakamega,2020,83773,226888,1867579.0,146.67249999999999,21.114166666666666,2.708366657514951,0.12148776571165129,12.332216190086374,1546.9021118478245
Kakamega,2021,98415,262506,1867579.0,146.67249999999999,21.114166666666666,2.6673372961438804,0.1405595158223561,12.478033027324933,1789.7424534251481
Kakamega,2022,100641,154369,1867579.0,146.67249999999999,21.114166666666666,1.533857970409674,0.08265727982591366,11.947107597175886,1052.4740493275838
Kakamega,2023,87532,132572,1867579.0,146.67249999999999,21.114166666666666,1.5145546771466436,0.07098601986850356,11.794888716091048,903.8640508616136
Kakamega,2024,105181,212753,1867579.0,146.67249999999999,21.114166666666666,2.0227322425152834,0.1139191434472116,12.267891847668983,1450.5309447919687
Kericho,2020,34397,92731,901777.0,136.5325,18.276666666666667,2.69590371253307,0.10283140953916545,11.437468891554785,679.1862743302877
Kericho,2021,35068,98746,901777.0,136.5325,18.276666666666667,2.8158435040492757,0.10950157300529953,11.50031630255506,723.2417190046326
Kericho,2022,40530,85975,901777.0,136.5325,18.276666666666667,2.1212681963977302,0.09533953516224078,11.36182346652099,629.7035504367092
Kericho,2023,40643,111130,901777.0,136.5325,18.276666666666667,2.734296188765593,0.12323445818644743,11.618464964609466,813.9453976159523
Kericho,2024,43908,134358,901777.0,136.5325,18.276666666666667,3.0599890680513804,0.14899248927395575,11.808270601007255,984.0733891198066
Kiambu,2020,31528,43259,2417735.0,86.86166666666666,17.995833333333334,1.372081958893682,0.01789236620225128,10.67498369950705,498.0217587351536
Kiambu,2021,30371,25563,2417735.0,86.86166666666666,17.995833333333334,0.841691086892101,0.010573119055645057,10.148940390770173,294.2955273711073
