county,year,area_ha,production_ha
Baringo,2020,47437,68374
Baringo,2021,34709,59169
Baringo,2022,37894,50820
Baringo,2023,42501,94877
Baringo,2024,47457,83958
Bomet,2020,42763,73610
Bomet,2021,40480,58685
Bomet,2022,27597,43287
Bomet,2023,27250,63230
Bomet,2024,33491,52714
Bungoma,2020,87960,317912
Bungoma,2021,93214,269443
Bungoma,2022,92464,275420
Bungoma,2023,92847,222912
Bungoma,2024,90297,207846
Busia,2020,48150,69450
Busia,2021,33810,42028
Busia,2022,42476,64360
Busia,2023,44097,71237
Busia,2024,44204,77934
Elgeyo Marakwet,2020,25856,87431
Elgeyo Marakwet,2021,31351,86007
Elgeyo Marakwet,2022,31713,72330
Elgeyo Marakwet,2023,43133,150221
Elgeyo Marakwet,2024,42182,117786
Embu,2020,35130,34650
Embu,2021,35925,31378
Embu,2022,34506,10077
Embu,2023,34500,41327
Embu,2024,34750,25659
Garissa,2020,238,296
Garissa,2021,145,71
Garissa,2022,107,70
Garissa,2023,142,132
Garissa,2024,222,382
Homa Bay,2020,72097,92394
Homa Bay,2021,79608,82278
Homa Bay,2022,72215,86658
Homa Bay,2023,78795,115635
Homa Bay,2024,89172,146866
Isiolo,2020,586,42
Isiolo,2021,147,139
Isiolo,2022,129,94
Isiolo,2023,256,176
Isiolo,2024,288,576
Kajiado,2020,31384,15543
Kajiado,2021,4808,2864
Kajiado,2022,32159,13063
Kajiado,2023,33241,40733
Kajiado,2024,21906,40573
Kakamega,2020,83773,226888
Kakamega,2021,98415,262506
Kakamega,2022,100641,154369
Kakamega,2023,87532,132572
Kakamega,2024,105181,212753
Kericho,2020,34397,92731
Kericho,2021,35068,98746
Kericho,2022,40530,85975
Kericho,2023,40643,111130
Kericho,2024,43908,134358
Kiambu,2020,31528,43259
Kiambu,2021,30371,25563
Kiambu,2022,29174,19655
Kiambu,2023,30537,29692
Kiambu,2024,33534,39471
Kilifi,2020,71782,44585
Kilifi,2021,53943,26176
Kilifi,2022,72748,47780
Kilifi,2023,95674,81813
Kilifi,2024,51393,41907
Kirinyaga,2020,30505,40281
Kirinyaga,2021,30373,24388
Kirinyaga,2022,30503,13547
Kirinyaga,2023,38467,49692
Kirinyaga,2024,28228,38468
Kisii,2020,67286,132790
Kisii,2021,65876,96249
Kisii,2022,43735,79671
Kisii,2023,66221,119244
Kisii,2024,65900,41087
Kisumu,2020,46307,67307
Kisumu,2021,62600,40990
Kisumu,2022,54125,34513
Kisumu,2023,62195,105003
Kisumu,2024,48400,58657
Kitui,2020,87252,27960
Kitui,2021,79035,11508
Kitui,2022,62987,9183
Kitui,2023,83618,36292
Kitui,2024,89423,17845
Kwale,2020,56576,34061
Kwale,2021,56128,33815
Kwale,2022,23200,45428
Kwale,2023,60518,61037
Kwale,2024,58116,44127
Laikipia,2020,26470,39422
Laikipia,2021,24932,34520
Laikipia,2022,25055,7288
Laikipia,2023,29596,44264
Laikipia,2024,29240,51372
Lamu,2020,37500,28325
Lamu,2021,16820,4772
Lamu,2022,39502,59102
Lamu,2023,45800,74318
Lamu,2024,23154,48436
Machakos,2020,133795,40927
Machakos,2021,144201,59321
Machakos,2022,134048,22597
Machakos,2023,138830,175493
Machakos,2024,158761,91910
Makueni,2020,146562,120000
Makueni,2021,150726,88013
Makueni,2022,132910,83018
Makueni,2023,136912,81363
Makueni,2024,155337,83506
