county,month,rainfall_mm,temperature_c
Mombasa,Jan,23.7,27.9
Mombasa,Feb,17.47,28.15
Mombasa,Mar,68.08,28.49
Mombasa,Apr,157.4,27.66
Mombasa,May,249.38,26.33
Mombasa,Jun,86.47,25.13
Mombasa,Jul,52.04,24.28
Mombasa,Aug,54.33,24.44
Mombasa,Sep,50.74,24.99
Mombasa,Oct,81.42,25.9
Mombasa,Nov,106.95,26.92
Mombasa,Dec,63.04,27.63
Kwale,Jan,29.72,27.27
Kwale,Feb,22.46,27.55
Kwale,Mar,80.41,27.89
Kwale,Apr,119.94,26.78
Kwale,May,174.49,25.55
Kwale,Jun,56.82,24.35
Kwale,Jul,36.53,23.49
Kwale,Aug,43.03,23.67
Kwale,Sep,41.64,24.24
Kwale,Oct,78.64,25.41
Kwale,Nov,111.91,26.35
Kwale,Dec,73,26.88
Kilifi,Jan,18.6,27.48
Kilifi,Feb,15.98,27.71
Kilifi,Mar,53.51,28.24
Kilifi,Apr,121.75,27.69
Kilifi,May,201.84,26.25
Kilifi,Jun,88.15,25.16
Kilifi,Jul,54.55,24.36
Kilifi,Aug,43.36,24.75
Kilifi,Sep,41.63,25.07
Kilifi,Oct,63.51,26.13
Kilifi,Nov,105.93,26.91
Kilifi,Dec,60.51,27.27
Tana_River,Jan,20.39,28.12
Tana_River,Feb,12.66,28.69
Tana_River,Mar,48.74,29.3
Tana_River,Apr,88.57,28.87
Tana_River,May,75.69,27.36
Tana_River,Jun,32.99,26.06
Tana_River,Jul,17.87,25.31
Tana_River,Aug,14.85,26.17
Tana_River,Sep,18.81,26.22
Tana_River,Oct,49.21,27.48
Tana_River,Nov,134.85,27.91
Tana_River,Dec,66.87,27.57
Lamu,Jan,9.34,28.4
Lamu,Feb,6.13,28.64
Lamu,Mar,30.09,29.43
Lamu,Apr,104.71,29.06
Lamu,May,229.77,27.51
Lamu,Jun,106.07,26.34
Lamu,Jul,58.48,25.69
Lamu,Aug,32.65,25.92
Lamu,Sep,37.15,26.39
Lamu,Oct,37.86,27.41
Lamu,Nov,60.47,28.11
Lamu,Dec,34.2,28.38
Taita_Taveta,Jan,43.69,25.11
Taita_Taveta,Feb,32.07,25.63
Taita_Taveta,Mar,97.26,26
Taita_Taveta,Apr,126.45,24.87
Taita_Taveta,May,85.93,23.62
Taita_Taveta,Jun,23.71,22.31
Taita_Taveta,Jul,15.9,21.55
Taita_Taveta,Aug,18.78,21.75
Taita_Taveta,Sep,20.68,22.46
Taita_Taveta,Oct,49.5,24.03
Taita_Taveta,Nov,136.08,24.69
Taita_Taveta,Dec,98.66,24.76
Garissa,Jan,13.62,28.7
Garissa,Feb,7.72,29.28
Garissa,Mar,35.38,30.1
Garissa,Apr,82.66,29.64
Garissa,May,82,28.31
Garissa,Jun,37.05,26.93
Garissa,Jul,21.6,26.28
Garissa,Aug,14.05,26.49
Garissa,Sep,17.18,27.18
Garissa,Oct,43.63,28.18
Garissa,Nov,96.33,28.44
Garissa,Dec,47.95,28.3
Wajir,Jan,8.99,28.51
Wajir,Feb,7.7,29.29
Wajir,Mar,34.25,29.88
Wajir,Apr,107.83,28.95
Wajir,May,53.52,27.79
Wajir,Jun,6.99,26.73
Wajir,Jul,5.33,26
Wajir,Aug,3.82,26.26
Wajir,Sep,4.92,27.12
Wajir,Oct,54.75,27.64
Wajir,Nov,85.63,27.57
Wajir,Dec,38.22,27.77
Mandera,Jan,5.47,27.48
Mandera,Feb,7.84,28.44
Mandera,Mar,32.44,29.13
Mandera,Apr,125.42,27.89
Mandera,May,61.2,26.78
Mandera,Jun,2.86,25.96
Mandera,Jul,3.94,25.21
Mandera,Aug,2.24,25.57
Mandera,Sep,6.53,26.49
Mandera,Oct,80.7,26.51
Mandera,Nov,74.15,26.35
Mandera,Dec,30.42,26.75
Marsabit,Jan,18.51,27.35
Marsabit,Feb,16.33,28.14
Marsabit,Mar,46.39,28.59
Marsabit,Apr,148.76,27.75
Marsabit,May,66.33,26.88
Marsabit,Jun,8.22,26.04
Marsabit,Jul,9.14,25.36
Marsabit,Aug,8.01,25.84
Marsabit,Sep,7.04,26.77
Marsabit,Oct,72.16,27.2
Marsabit,Nov,76.46,26.79
Marsabit,Dec,35.23,26.64
Isiolo,Jan,26.38,26.99
Isiolo,Feb,19.63,27.96
Isiolo,Mar,59.72,28.57
Isiolo,Apr,172.14,27.98
Isiolo,May,70.97,26.94
Isiolo,Jun,4.91,25.91
Isiolo,Jul,3.69,25.32
Isiolo,Aug,5.12,25.62
Isiolo,Sep,5.43,26.6
Isiolo,Oct,102.9,27.4
Isiolo,Nov,161.76,26.67
Isiolo,Dec,65.67,26.32
Meru,Jan,53.18,21.02
Meru,Feb,41.53,21.99
Meru,Mar,95.69,22.59
Meru,Apr,241.36,22.3
Meru,May,147.92,21.34
Meru,Jun,22.29,20.29
Meru,Jul,26.56,19.72
Meru,Aug,28.99,20.05
Meru,Sep,22.29,21.22
Meru,Oct,210.98,22.08
Meru,Nov,262.86,21.06
Meru,Dec,109.41,20.45
Tharaka_Nithi,Jan,46.97,22.38
Tharaka_Nithi,Feb,35.98,23.76
Tharaka_Nithi,Mar,91.32,24.27
Tharaka_Nithi,Apr,225.88,23.83
Tharaka_Nithi,May,134.33,22.84
Tharaka_Nithi,Jun,20.05,21.78
Tharaka_Nithi,Jul,24.58,21.17
Tharaka_Nithi,Aug,26.33,21.51
Tharaka_Nithi,Sep,20.45,22.75
Tharaka_Nithi,Oct,179.83,23.69
Tharaka_Nithi,Nov,262.54,22.53
Tharaka_Nithi,Dec,95.77,21.83
Embu,Jan,47.54,21.42
Embu,Feb,36.51,23.01
Embu,Mar,92.05,23.26
Embu,Apr,215.77,22.88
Embu,May,130.37,21.92
Embu,Jun,20.87,20.82
Embu,Jul,24.49,20.02
Embu,Aug,25.13,20.34
Embu,Sep,19.71,21.74
Embu,Oct,149.4,22.72
Embu,Nov,246.25,21.68
Embu,Dec,85.5,20.95
Kitui,Jan,31.47,25.58
Kitui,Feb,21.04,26.79
Kitui,Mar,71.76,27.07
Kitui,Apr,118.71,26.47
Kitui,May,44.45,25.12
Kitui,Jun,7.7,23.9
Kitui,Jul,3.59,23.11
Kitui,Aug,4.87,23.69
Kitui,Sep,7.7,24.43
Kitui,Oct,69.66,25.76
Kitui,Nov,218.56,25.54
Kitui,Dec,90.82,24.87
Machakos,Jan,53.96,21.35
Machakos,Feb,38.7,22.46
Machakos,Mar,92.41,22.81
Machakos,Apr,161.25,22.37
Machakos,May,80.76,21.24
Machakos,Jun,11.8,19.86
Machakos,Jul,8.19,18.97
Machakos,Aug,8.6,19.34
Machakos,Sep,9.99,20.86
Machakos,Oct,81.55,22.05
Machakos,Nov,220.08,21.34
Machakos,Dec,96.52,20.84
Makueni,Jan,45.26,23.47
Makueni,Feb,31.77,24.34
Makueni,Mar,78.1,24.66
Makueni,Apr,111.73,23.96
Makueni,May,34.4,22.62
Makueni,Jun,5.53,21.2
Makueni,Jul,2.62,20.36
Makueni,Aug,3.42,20.76
Makueni,Sep,5.21,21.97
Makueni,Oct,43.24,23.43
Makueni,Nov,197.83,23.25
Makueni,Dec,103.03,22.91
Nyandarua,Jan,56.59,15.63
Nyandarua,Feb,42.91,16.15
Nyandarua,Mar,76.43,16.55
Nyandarua,Apr,160.7,16.47
Nyandarua,May,149.47,15.69
Nyandarua,Jun,71.99,14.61
Nyandarua,Jul,82.9,14.01
Nyandarua,Aug,99.75,14.21
Nyandarua,Sep,62.87,14.76
Nyandarua,Oct,114.1,15.43
Nyandarua,Nov,114.53,15.24
Nyandarua,Dec,72.74,15.08
Nyeri,Jan,68.04,14.69
Nyeri,Feb,54.25,15.27
Nyeri,Mar,97.07,15.71
Nyeri,Apr,225.46,15.68
Nyeri,May,218.72,14.91
Nyeri,Jun,71.11,13.66
Nyeri,Jul,85.98,13.02
Nyeri,Aug,93.41,13.18
Nyeri,Sep,57.46,14.16
Nyeri,Oct,172.11,14.9
Nyeri,Nov,177.65,14.56
Nyeri,Dec,94.94,14.21
Kirinyaga,Jan,57.87,18.11
Kirinyaga,Feb,45.86,18.98
Kirinyaga,Mar,98.2,19.53
Kirinyaga,Apr,234.41,19.3
Kirinyaga,May,195.95,18.45
Kirinyaga,Jun,47.29,17.18
Kirinyaga,Jul,55.14,16.36
Kirinyaga,Aug,56.73,16.59
Kirinyaga,Sep,38.83,17.92
Kirinyaga,Oct,164.64,18.86
Kirinyaga,Nov,205.24,18.17
