county,year,area_ha,production_ha,population,yield_per_hectare,production_per_person,rainfall_mm,temperature_c
Baringo,2020,47437,68374,666763.0,1.4413643358559773,0.10254618207668992,93.29833333333333,21.215
Baringo,2021,34709,59169,666763.0,1.7047163559883605,0.08874067697217752,93.29833333333333,21.215
Baringo,2022,37894,50820,666763.0,1.341109410460759,0.0762189863564715,93.29833333333333,21.215
Baringo,2023,42501,94877,666763.0,2.2323474741770784,0.1422949383814039,93.29833333333333,21.215
Baringo,2024,47457,83958,666763.0,1.7691383778999936,0.12591880473271613,93.29833333333333,21.215
Bomet,2020,42763,73610,875689.0,1.7213478942076095,0.08405952341527642,138.83166666666668,17.913333333333334
Bomet,2021,40480,58685,875689.0,1.4497282608695652,0.06701580127191274,138.83166666666668,17.913333333333334
Bomet,2022,27597,43287,875689.0,1.5685400587020328,0.04943193302645117,138.83166666666668,17.913333333333334
Bomet,2023,27250,63230,875689.0,2.320366972477064,0.07220600007536922,138.83166666666668,17.913333333333334
Bomet,2024,33491,52714,875689.0,1.5739750977874654,0.06019717045663472,138.83166666666668,17.913333333333334
Bungoma,2020,87960,317912,1670570.0,3.614279217826285,0.19030151385455263,135.5625,22.89333333333333
Bungoma,2021,93214,269443,1670570.0,2.8905851052417018,0.16128806335562113,135.5625,22.89333333333333
Bungoma,2022,92464,275420,1670570.0,2.9786727807579165,0.16486588409943911,135.5625,22.89333333333333
Bungoma,2023,92847,222912,1670570.0,2.4008530162525443,0.13343469594210358,135.5625,22.89333333333333
Bungoma,2024,90297,207846,1670570.0,2.301804046646068,0.12441621721927247,135.5625,22.89333333333333
Busia,2020,48150,69450,893681.0,1.442367601246106,0.0777122933127145,135.5625,22.89333333333333
Busia,2021,33810,42028,893681.0,1.243064182194617,0.04702796635488502,135.5625,22.89333333333333
Busia,2022,42476,64360,893681.0,1.51520858837932,0.07201674870563433,135.5625,22.89333333333333
Busia,2023,44097,71237,893681.0,1.6154613692541442,0.07971188824647721,135.5625,22.89333333333333
Busia,2024,44204,77934,893681.0,1.7630531173649444,0.08720561363618562,135.5625,22.89333333333333
Elgeyo Marakwet,2020,25856,87431,,3.381458849009901,,,
Elgeyo Marakwet,2021,31351,86007,,2.7433574686612867,,,
Elgeyo Marakwet,2022,31713,72330,,2.2807681392488885,,,
Elgeyo Marakwet,2023,43133,150221,,3.4827394338441566,,,
Elgeyo Marakwet,2024,42182,117786,,2.7923284813427527,,,
Embu,2020,35130,34650,608599.0,0.986336464560205,0.056934040312258155,91.1325,21.73
Embu,2021,35925,31378,608599.0,0.8734307585247042,0.051557758064012596,91.1325,21.73
Embu,2022,34506,10077,608599.0,0.2920361676230221,0.016557700554880966,91.1325,21.73
Embu,2023,34500,41327,608599.0,1.1978840579710144,0.06790513950893774,91.1325,21.73
Embu,2024,34750,25659,608599.0,0.7383884892086331,0.04216076595590857,91.1325,21.73
Garissa,2020,238,296,841353.0,1.2436974789915967,0.00035181428009408653,41.597500000000004,28.1525
Garissa,2021,145,71,841353.0,0.4896551724137931,8.438788475229778e-05,41.597500000000004,28.1525
Garissa,2022,107,70,841353.0,0.6542056074766355,8.319932299522317e-05,41.597500000000004,28.1525
